originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
Competitive Suppression,0.2,-214.564859029406,-247.092639320065,-179.302658260512,-256.571270444325,-223.962791811365,-276.738186186795,-189.342577657331,-256.412705944695
Competitive Suppression,0.2,-206.393960825689,-429.204733452591,-175.349624230938,-234.82946212742,-416.107387095872,-442.923941709065,-181.871067271222,-272.582844453694
Competitive Suppression,0.2,-212.42478587952,-239.314084947251,-154.977498125393,-237.742524972341,-183.653914994218,-259.641354533867,-160.562680020516,-248.554282075778
Competitive Suppression,0.2,-191.344488760015,-238.710765671001,-163.122721747173,-214.970155312327,-222.889309390611,-254.499969923112,-160.333373877052,-278.196535591356
Competitive Suppression,0.2,-211.705092154946,-226.201041813954,-183.592307475586,-239.798914859278,-218.123762225402,-238.464701674295,-188.87013104722,-218.878677714265
Competitive Suppression,0.2,-230.482624661392,-280.006005811033,-181.793421887394,-239.153265609949,-213.820866336512,-280.160313321238,-211.751913875334,-242.140168682749
Competitive Suppression,0.2,-186.361964636276,-219.474348454309,-157.255665474984,-215.51262188404,-215.729529460685,-244.314252506835,-160.873775384464,-227.817318834292
Competitive Suppression,0.2,-212.861772478699,-261.603041972685,-183.988877823433,-235.294672591785,-207.230302296169,-260.699421884526,-187.657176953529,-219.679452487395
Competitive Suppression,0.2,-219.843683022338,-277.118285249192,-176.023270862803,-239.705809629285,-211.436936284924,-292.831357700222,-190.01574951743,-241.449840310733
Competitive Suppression,0.2,-206.294587921347,-232.933569720029,-184.885890587567,-228.964892884738,-216.629728432123,-275.77904465419,-195.283240815116,-228.35253243507
Competitive Suppression,0.2,-225.023725233416,-310.663857403383,-183.799618356441,-237.160318189128,-599.210348324006,-308.918207943123,-191.81689411222,-262.099010620618
Competitive Suppression,0.2,-213.755467591985,-247.398529864835,-177.1827186414,-247.946082763683,-258.184906290832,-258.131329698244,-195.056663008593,-220.460916214017
Competitive Suppression,0.2,-211.649828580962,-231.716002038381,-152.008800166067,-233.273119597573,-181.082292571128,-255.1002436008,-165.721221296659,-248.842098036112
Competitive Suppression,0.2,-220.717141144305,-258.617630077161,-171.701347126049,-238.673881706865,-252.760760505671,-263.346317692797,-190.15658631283,-313.630449634791
Competitive Suppression,0.2,-201.029026065018,-234.905597136603,-175.093557601557,-224.473191838447,-224.092788058252,-246.417195241425,-181.30183493707,-246.387296673052
Competitive Suppression,0.2,-222.853267402528,-224.898641915261,-173.091957728015,-244.402707037642,-183.272368054744,-244.220427245473,-181.532254022961,-288.236365931429
Competitive Suppression,0.2,-218.11064626012,-264.62773082954,-183.236258877377,-251.530206605946,-231.694589126441,-291.431687984418,-203.619829340925,-263.833867890804
Competitive Suppression,0.2,-223.666747270271,-247.977084979287,-188.2568820032,-240.929057711845,-215.546611107986,-248.115204290382,-190.836674960238,-261.500455853823
Competitive Suppression,0.2,-219.002106632692,-252.571625963583,-178.016497546701,-236.585810433411,-396.69345762907,-263.308570917994,-194.49466325035,-249.076732031421
Competitive Suppression,0.2,-201.856862170706,-221.609257077045,-163.080964303801,-229.039396763842,-189.09555447826,-242.362568317262,-180.082359760626,-219.663254767315
Competitive Suppression,0.2,-207.017797782857,-252.998401321609,-166.497987850156,-231.94853916476,-202.538746568406,-274.969532124432,-186.705568145381,-227.008531443063
Competitive Suppression,0.2,-210.217568815871,-243.503630530827,-170.128409119525,-234.949665695492,-249.53262502486,-254.528366109955,-173.79484002589,-242.948125410619
Competitive Suppression,0.2,-206.548487703395,-272.62221164336,-168.900018380975,-225.609451048962,-214.06736587882,-222.833070217534,-175.456054195017,-249.514363563478
Competitive Suppression,0.2,-213.51996456059,-231.551134680895,-174.859926649585,-234.649339747615,-248.359704002483,-250.707962127535,-194.56243342915,-220.904929702867
Competitive Suppression,0.2,-223.334532615214,-827.355746851979,-173.001744277129,-244.487464055478,-195.509896317784,-279.868629600537,-178.336161278147,-226.945400086777
Competitive Suppression,0.2,-212.140258698681,-249.11734598273,-185.178139881196,-237.4265478267,-222.462093056613,-258.956439571694,-186.811408120876,-246.501465403533
Competitive Suppression,0.2,-226.604680764147,-381.810924556343,-168.274148816913,-236.699604339501,-343.559369462153,-386.269644831997,-190.322423841556,-256.388084931448
Competitive Suppression,0.2,-201.244280496574,-223.261334755857,-176.760953209026,-222.922713599531,-203.593093230819,-227.895792131107,-188.960760054151,-219.191417326068
Competitive Suppression,0.2,-223.68614701356,-234.84859784649,-163.482694037926,-247.406198901826,-210.168552974118,-257.835781203694,-174.757955498003,-249.243694315409
Competitive Suppression,0.2,-206.474370839517,-291.335966015655,-171.688203412479,-234.610338093935,-209.319217244771,-346.362274893404,-182.484524511268,-213.467560356064
Competitive Suppression,0.2,-193.479766299554,-239.654269937435,-152.687916460859,-232.479932215214,-217.44711173167,-223.928709363262,-156.23864386146,-227.746651801866
Competitive Suppression,0.3,-200.25007542107,-242.615995418941,-175.785375246892,-216.819518647314,-216.117881873765,-247.348987487934,-188.928288182889,-246.559832501615
Competitive Suppression,0.3,-212.426703449991,-243.932600051829,-184.73474534285,-233.99483481477,-242.442145479957,-241.0144234932,-198.765374185724,-238.858200736149
Competitive Suppression,0.3,-206.047966611753,-250.717331454642,-156.467874500048,-230.582114824996,-202.653369245395,-264.849449784235,-169.77691378638,-267.541731106545
Competitive Suppression,0.3,-217.477292240872,-252.36442052799,-182.483294001919,-241.894909846736,-256.088982095856,-271.34404883656,-191.352267352417,-270.353398702546
Competitive Suppression,0.3,-208.339035117033,-234.609217041864,-173.852783263691,-222.395282746308,-227.295794863899,-244.956544045825,-189.941732145126,-223.412987573574
Competitive Suppression,0.3,-206.105777219076,-247.456555552999,-177.186954506806,-232.85880676754,-261.361567410793,-251.702257447871,-172.339706362127,-231.461816501526
Competitive Suppression,0.3,-270.021219060682,-286.951276795757,-171.435432962786,-275.289466817438,-202.577373817122,-285.821741044445,-205.443633862201,-283.477910743397
Competitive Suppression,0.3,-211.499267596224,-265.232788069135,-184.94049997176,-232.735943936261,-392.347962756767,-273.607649284784,-191.342704708291,-214.366292563155
Competitive Suppression,0.3,-220.692064396775,-266.944364800431,-165.723475697747,-241.964223183527,-200.379072433017,-260.443699202863,-176.059255622788,-225.790344056311
Competitive Suppression,0.3,-215.391121702688,-222.860641818999,-178.458559492012,-251.657076318505,-208.315808895454,-254.04074364655,-191.064805603658,-227.819131450721
Competitive Suppression,0.3,-202.55016510357,-280.76194784318,-178.3266164844,-230.481428163156,-218.846175033761,-315.047483692441,-190.918114411915,-230.753477360154
Competitive Suppression,0.3,-219.699555986636,-257.835170988332,-194.218584968916,-248.883375166208,-319.096763744075,-272.622964938769,-194.204730431806,-336.86164899723
Competitive Suppression,0.3,-207.663420603544,-227.96806450831,-182.998560097308,-235.277505015466,-262.786359368469,-243.430796191969,-189.988502655036,-218.531100293947
Competitive Suppression,0.3,-204.101349637959,-230.884200390951,-168.409489950582,-232.551499937669,-232.355679763303,-253.966258052474,-182.293295096549,-225.561647085519
Competitive Suppression,0.3,-208.394687654991,-240.109523617423,-171.647037306512,-226.658366848131,-183.989689631891,-244.763216364603,-185.598245034386,-229.556537114086
Competitive Suppression,0.3,-231.181729740648,-244.210045889309,-190.697663413999,-259.508166265689,-221.808720592041,-259.608145775278,-191.74111530137,-242.884465790085
Competitive Suppression,0.3,-219.94383431376,-246.494550298494,-209.490533947463,-241.244821456682,-275.648999117661,-254.82869550841,-219.255439938351,-226.023111538625
Competitive Suppression,0.3,-201.040676819879,-242.240938925875,-169.382383686041,-224.553266737063,-221.984929294033,-258.506579494866,-174.76180419778,-232.071326286397
Competitive Suppression,0.3,-224.247392904456,-230.321047901739,-194.451858559707,-250.456115172746,-213.652687751601,-243.311234883605,-198.769334573276,-241.358499987883
Competitive Suppression,0.3,-217.392705566627,-253.639404180682,-167.189699955051,-238.93321766736,-200.996742309555,-266.694198343299,-179.963392813703,-309.003105263472
Competitive Suppression,0.3,-212.04522325156,-238.743486691004,-186.365302570105,-215.745533323314,-212.005635054767,-240.199186195257,-206.265976705821,-221.449130238939
Competitive Suppression,0.3,-209.734934242142,-251.279386954245,-179.392048778968,-244.863097700365,-200.427496331959,-271.485438843978,-185.653894955468,-276.047852580703
Competitive Suppression,0.3,-215.132580169249,-242.194841292921,-186.63115628568,-238.274475594328,-231.373516745382,-252.366665746618,-191.962548909661,-234.623171173914
Competitive Suppression,0.3,-224.777126477902,-260.692876014038,-177.456574241371,-254.204094956045,-216.545057318735,-285.663306326833,-180.949591920658,-236.759382831277
Competitive Suppression,0.3,-199.622697507903,-223.303231661654,-173.505153743282,-213.99050582583,-248.380387122202,-233.592708255183,-182.43320442826,-236.265124095505
Competitive Suppression,0.3,-246.258626685048,-328.06562732869,-196.357079151615,-267.816111596596,-265.68949963943,-339.464561705259,-205.870601573875,-307.541750987914
Competitive Suppression,0.3,-222.570308150227,-245.256337372166,-157.800764128517,-240.957716747564,-195.437204104746,-257.065850748816,-178.926313743318,-237.744112625952
