originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,-177.423172983652,-171.354331118248,-230.836547919647,-174.02205261696,-232.596648920491,-212.671434874982,-194.749305751446,-184.971505551415,-260.784277895453,-211.237042232586,-230.36411104117,-187.112847252174,-198.655726776015,-186.655530193397,-202.167989095519,-171.567180646195
GML,-169.782912411924,-165.343713229387,-147.930571318808,-114.860638117372,-187.132386184516,-183.846980871311,-195.683913657212,-189.562493768327,-231.917626072726,-172.134018332792,-164.82152632317,-117.575424660373,-170.851733846319,-167.57384174837,-299.865576694641,-165.52241107764
Competitive Suppression,-209.170673613994,-205.98989972989,-290.025183897994,-203.625741832858,-167.208932354344,-164.75065740518,-228.78627800822,-224.530286997301,-238.091699495375,-172.090966718424,-252.271757777066,-207.914259535607,-174.932592542238,-165.48909332647,-275.252147664437,-206.136164378869
Direct Suppression,-205.543083869751,-195.987729798266,-226.438275164586,-195.355365488558,-250.322580973611,-230.102397000547,-194.267011597189,-189.695420292379,-279.60158614989,-229.607237898914,-232.006242821484,-192.815526441026,-233.550871187078,-195.975197315601,-289.631698104674,-192.989559778415
Generalized Competitive Suppression,-203.805575202983,-199.361182468867,-202.599646845075,-166.039343485423,-186.218721295783,-179.702325018577,-224.841834145975,-220.764507034949,-197.868765495587,-164.615703372356,-216.527831952852,-174.486071714836,-187.541335835543,-177.429501213813,-222.797371497689,-199.58914972728
Generalized Direct Suppression,-167.834000077036,-164.439220069161,-134.817411431919,-115.25193748467,-186.740644442426,-182.827804682838,-184.179255754122,-180.926396598314,-198.934977395147,-170.811838092905,-121.786337576457,-97.8940833023561,-163.335222520406,-159.115803982578,-334.540579409168,-163.08395302785
ROE Competitive Suppression,-184.708083156588,-156.711738611714,-200.208229384015,-151.864196280919,-164.065458470778,-160.576989067884,-212.904769628574,-184.661799184192,-210.577592708366,-168.33213611754,-222.527606718703,-166.514721478155,-153.875360729986,-140.508571709547,-334.315376690546,-156.708649914205
ROE Direct Suppression,-180.720388213804,-169.907831841064,-219.521746825487,-171.218958695918,-212.747202066506,-208.592366271357,-213.69297083266,-179.159603225285,-241.81437265963,-206.487474538728,-242.55852971818,-179.859130630015,-183.919639734063,-170.794914843227,-242.357333704733,-170.497519493258
OML,-149.156481699772,-138.019205561894,-202.884849424461,-142.799609966905,-183.141584797566,-179.044625690968,-165.936378393929,-161.342549322883,-240.624636645739,-184.948675120172,-203.639308587707,-157.171893519938,-157.256956488351,-140.231928927306,-213.933184102793,-138.559803982369
GML,-191.840080447517,-175.103561793103,-195.597467975038,-131.478860900491,-212.187139052104,-186.986044874593,-216.394272620191,-197.763587861996,-326.066806139718,-174.605961895435,-224.853663336721,-141.825891642674,-197.905393250376,-173.866030210651,-206.941457497289,-175.079164704162
